Steps,Car 1,Car 2,Car 3
1.241513,0,0,0
1.8495,0,0,0
2.458419,0,0,0
3.067115,0,0,0
3.684198,0,0,0
4.299845,2.3798639796685896,0,0
4.908316,4.309326119885516,0,0
5.524595,6.396345292201229,0,0
6.141113,8.707501074466993,0,0
6.756803,11.224917336677333,0,0
7.374404,13.927874330129304,0,0
7.992004,16.794602204937686,0,0
8.615972,19.80268953928039,0,0
9.232116,22.929468209969787,0,0
9.848364,26.152369805427846,0,0
10.472824,29.44924871858367,0,0
11.090264,32.79866781687184,0,0
11.698615,36.18014375988991,0,0
12.307155,39.574350374235166,0,0
12.915692,42.963279839002084,0,0
13.532409,46.33036267847033,0,0
14.157043,49.66054863319058,0,0
14.77467,52.9403513487081,0,0
15.382707,56.157860467067756,0,0
15.999888,59.302725132132736,0,0
16.624806,62.366113140756184,0,0
17.250247,65.3406500120119,0,0
17.875554,68.22034213534917,0,0
18.493019,71.0004879272589,0,0
19.118485,73.67758060619703,0,0
19.743772,76.2492058164571,0,0
20.361074,78.71393691951936,0,0
20.977953,81.07123034825777,0,0
21.611011,83.32132300314078,0,0
22.236219,85.46513327389097,0,0
22.861585,87.50416690474526,0,0
23.480558,89.44042859278493,0,0
24.106701,91.2763399201618,0,0
24.732067,93.01466397343479,0,0
25.357899,94.6584367958161,0,0
25.975494,96.21090564873886,0,0
26.601009,97.67547392471434,0,0
27.218312,99.05565245032555,0,0
27.844008,100.35501684252264,0,0
28.462001,101.57717052923984,0,0
29.078922,102.72571301296874,0,0
29.704052,103.80421293977918,0,0
30.329494,104.81618553317414,0,0
30.94657,105.76507395925763,0,0
31.563601,106.65423420451089,0,0
32.180776,107.48692306790466,0,0
32.798021,108.26628889335808,0,0
33.41543,108.99536469523612,0,0
34.04884,109.6770633574909,0,0
34.666033,110.3141746152764,0,0
35.291165,110.90936355569276,0,0
35.924336,111.46517040122066,0,0
36.54137,111.98401136500969,0,0
37.158728,112.46818039123532,0,0
37.784139,112.91985161608102,0,0
38.419016,113.34108240546051,0,0
39.04518,113.73381684435272,0,0
39.671387,114.09988956960959,0,0
40.289287,114.4410298533768,0,0
40.906947,114.7588658579263,0,0
41.524695,115.05492899483824,0,0
42.150208,115.33065833219997,0,0
42.775768,115.58740500292326,0,0
43.401916,115.82643657553481,0,0
44.026911,116.04894135597978,0,0
44.652239,116.25603259520045,0,0
45.270579,116.44875258261578,0,0
45.89566,116.62807661022472,0,0
46.512736,116.7949167959766,0,0
47.123708,116.95012575837475,0,0
47.747255,117.09450013707807,0,0
48.37257,117.2287839566064,0,0
48.989785,117.35367183219734,0,0
49.615214,117.4698120184588,0,0
50.240754,26.839735482640833,0,0
50.85018,19.769619914845393,0,0
51.467263,17.193381683455165,0,0
52.092688,16.063500726021548,0,0
52.709523,0,0,0
53.334917,0,0,0
53.967885,0,0,0
54.585286,0,0,0
55.202522,0,0,0
55.828195,0,0,0
56.4533,0,0,0
57.077917,0,0,0
57.686908,0,0,0
58.313378,0,0,0
58.948207,0,0,0
59.57369,0,0,0
60.182997,0,0,0
60.792673,0,0,0
61.426059,0,0,0
62.051661,0,0,0
62.669049,0,0,0
63.302229,0,0,0
63.91958,0,0,0
64.53669,0,0,0
65.154133,0,0,0
65.771192,0,0,0
66.38819,0,0,0
67.005228,0,0,0
67.638731,0,0,0
68.26545,0,0,0
68.892113,0,0,0
69.510258,0,0,0
70.135726,0,0,0
70.761356,0,0,0
71.386659,0,0,0
72.012015,0,0,0
72.637132,0,0,0
73.263674,0,0,0
73.889143,0,0,0
74.514682,0,0,0
75.132076,0,0,0
75.756961,0,0,0
76.374344,0,0,0
76.991918,0,0,0
77.608936,0,0,0
78.242395,0,0,0
78.859907,0,0,0
79.493263,0,0,0
80.126029,0,0,0
80.743163,0,0,0
81.35977,0,0,0
81.976673,0,0,0
82.60263,0,0,0
83.226897,0,0,0
83.843931,0,0,0
84.469322,0,0,0
85.094182,0,0,0
85.712311,0,0,0
Steps,Car 1,Car 2,Car 3
1.011806,0,0,0
1.636946,0,0,0
2.261771,0,0,0
2.878786,0,0,0
3.51147,2.5094063162954767,0,0
4.128425,4.644810683166815,0,0
4.745377,6.995924414531347,0,0
5.378325,9.62461185806224,0,0
6.011554,12.490153337772533,0,0
6.644602,15.548511489127772,0,0
7.27025,18.75488535180192,0,0
7.89517,22.06511494868485,0,0
8.51275,25.43688612933009,0,0
9.138091,28.83070971560206,0,0
9.763335,32.21066273565667,0,0
10.372783,35.54489398497919,0,0
10.989715,38.80590886591165,0,0
11.59769,41.970658171956046,0,0
12.214572,45.020461751475146,0,0
12.839886,47.940800918541406,0,0
13.457112,50.721013544734056,0,0
14.090529,53.35392361861079,0,0
14.72459,55.83543340368399,0,0
15.350479,58.164101819113846,0,0
15.967948,60.340727863185556,0,0
16.601003,62.367953219890246,0,0
17.218559,64.24989392227356,0,0
17.836102,65.99180726209264,0,0
18.445585,67.59979710630333,0,0
19.062746,69.08055840767305,0,0
19.679592,70.4411599318319,0,0
20.288467,71.68886299064717,0,0
20.905569,72.83097318374317,0,0
21.523474,73.8747217167871,0,0
22.150468,74.82717270327899,0,0
22.774481,75.69515289255067,0,0
23.402272,76.48520043888175,0,0
24.02571,77.20352958548537,0,0
24.642801,77.85600844420152,0,0
25.267825,78.44814737846677,0,0
25.892383,78.98509582313324,0,0
26.509443,79.47164568623785,0,0
27.118771,79.91223976627884,0,0
27.736383,80.310983879223,0,0
28.36913,80.6716616204388,0,0
28.986292,80.99775088807714,0,0
29.611305,81.29244146744352,0,0
30.236313,81.55865312275101,0,0
30.861138,81.79905376585712,0,0
31.47814,82.01607737387262,0,0
32.094702,82.21194141156884,0,0
32.727764,82.38866358285162,0,0
33.344503,82.54807779056233,0,0
33.977205,82.69184922762193,0,0
34.594213,82.82148855692074,0,0
35.211506,82.93836516399801,0,0
35.830242,83.04371948684991,0,0
36.447758,83.13867444234022,0,0
37.073693,83.22424597966608,0,0
37.699313,83.30135279898902,0,0
38.32607,83.37082527837245,0,0
38.959493,83.43341365514392,0,0
39.592962,83.4897955091879,0,0
40.210449,83.540582595856,0,0
40.836062,83.58632707545813,0,0
41.454002,83.62752718491828,0,0
42.073322,83.6646323953348,0,0
42.684582,83.6980480970319,0,0
43.310032,83.72813985134461,0,0
43.918987,83.75523724593727,0,0
44.543877,83.77963738798475,0,0
45.153571,83.80160806709888,0,0
45.778729,83.82139061749827,0,0
46.411938,83.83920250662514,0,0
47.044574,83.85523967522575,0,0
47.669787,83.86967865184411,0,0
48.278644,83.88267846273736,0,0
48.903901,83.89438235640809,0,0
49.528855,83.90491936026403,0,0
50.146541,83.91440568535484,0,0
50.772865,83.92294599369589,0,0
51.398129,83.93063454136454,0,0
52.015954,83.9375562093381,0,0
52.634285,83.94378743292971,0,0
53.252262,83.94939703966065,0,0
53.877313,83.95444700447904,0,0
54.487385,83.95899313038908,0,0
55.097646,83.9630856617854,0,0
55.715595,83.96676983708737,0,0
56.340815,83.97008638663304,0,0
56.949277,83.97307198121675,0,0
57.567815,83.97575963613157,0,0
58.192533,83.97817907510573,0,0
58.809699,83.980357058093,0,0
59.42583,83.98231767649108,0,0
60.042673,83.98408261901061,0,0
60.675514,83.98567141110222,0,0
61.300897,83.98710163056221,0,0
61.917557,83.98838910168,0,0
62.534326,83.98954807005711,0,0
63.142949,83.99059136001728,0,0
63.767795,83.99153051633746,0,0
64.392296,83.99237593185855,0,0
65.000826,83.99313696237985,0,0
65.618045,83.99382203010263,0,0
66.226726,83.99443871676233,0,0
66.851335,83.99499384747585,0,0
67.475637,83.99549356622863,0,0
68.087383,83.99594340383416,0,0
68.704183,83.99634833911591,0,0
69.321836,83.99671285398692,0,0
69.946884,83.99704098303548,0,0
70.564946,83.99733635816416,0,0
71.181403,83.99760224877579,0,0
71.807698,83.99784159794991,0,0
72.440982,83.99805705500992,0,0
73.05944,83.99825100484067,0,0
73.68525,83.99842559428059,0,0
74.303324,83.99858275588034,0,0
74.921933,83.99872422929039,0,0
75.548197,83.99885158051445,0,0
76.164858,83.99896621924127,0,0
76.782589,83.99906941444678,0,0
77.399729,83.99916230843925,0,0
78.01817,83.99924592950246,0,0
78.63554,83.99932120327713,0,0
79.260493,83.9993889630064,0,0
79.895175,83.9994499587586,0,0
80.520175,83.9995048657297,0,0
81.153598,83.99955429171679,0,0
81.778889,83.99959878384583,0,0
82.405278,83.99963883462782,0,0
83.02331,83.9996748874104,0,0
83.641004,83.99970734128537,0,0
84.266404,83.99973655550636,0,0
84.876531,83.9997628534654,0,0
85.501519,83.9997865262728,0,0
86.110521,83.99980783597947,0,0
86.719265,83.99982701847767,0,0
87.331699,83.99984428611229,0,0
87.949307,83.9998598300313,0,0
88.565944,83.99987382230172,0,0
89.190638,83.99988641781437,0,0
89.799428,83.99989775599833,0,0
90.42443,83.99990796236446,0,0
Steps,Car 1,Car 2,Car 3
1.000652,0,0,0
1.608826,0,0,0
2.2177,0,0,0
2.83438,0,0,0
3.451247,0,0,0
4.060204,0,0,0
4.668295,0,0,0
5.292492,0,0,0
5.908923,0,0,0
6.525339,0,0,0
7.134028,0,0,0
7.742279,0,0,0
8.351038,0,0,0
8.967933,0,0,0
9.601174,0,0,0
10.217909,0,0,0
